Architecture,Hidden Layers,Mean Val MSE,Std Val MSE,Mean Val MAE,Std Val MAE,Mean Val RMSE,Std Val RMSE,Mean R2,Std R2,Mean Val MAPE (%),Std Val MAPE (%),Mean Val MedAE,Std Val MedAE
A8,[8],48.49718399047852,8.521699527770032,5.139373397827148,0.4798548316977623,6.940410410061979,0.6231916938924137,0.861796183595942,0.027475991037528544,6.089019640644567,0.6033544744029177,4.037641662597657,0.4161482998714715
A9,[9],49.24768829345703,9.195286950803995,5.220267391204834,0.535948497993135,6.989234406349317,0.6860458513350102,0.8605153733014378,0.022976892914569443,6.1999973271762565,0.6778939946987855,4.127294677734379,0.44202483051341585
A7,[7],49.30479125976562,9.456700435398481,5.21355972290039,0.599309160926302,6.991537779009055,0.7114119399724685,0.8605097250430729,0.02264379199202124,6.179393179844057,0.7366588926340247,4.134824890136722,0.5343266641553664
A6,[6],50.88003845214844,9.943421704596009,5.25603494644165,0.5991107260417559,7.102141416069712,0.7295467852978148,0.855664361491343,0.027172102828488115,6.216892715096391,0.7619394653903563,4.161172729492188,0.5255056956004815
F4,"[5, 4]",50.847355651855466,5.941883385001009,5.475363159179688,0.3599548545325956,7.119593292848603,0.4218850049343437,0.8553443723401692,0.01740736669599205,6.484674911074647,0.4782676385052483,4.563373229980473,0.47051510157807336
G3,"[6, 3]",53.02799072265625,6.815008963127517,5.603134250640869,0.4690701020992632,7.268669845791877,0.4682865794748677,0.8493711682042621,0.017190865356108347,6.629192924563259,0.6787677844075151,4.689668029785165,0.5984373931407062
A4,[4],54.223960876464844,8.286845042087277,5.482251739501953,0.5041793424217208,7.344459257672026,0.5807981137288943,0.8463820154687977,0.018329383762529506,6.544783832058187,0.660726117818417,4.366521789550783,0.4889771651941791
F3,"[5, 3]",55.16691970825195,7.571812179851365,5.664406490325928,0.49797453211541803,7.411613743388905,0.5238462454671778,0.8434245930340435,0.01878499787459275,6.679468122720482,0.687132175613984,4.691504333496098,0.5881578355341474
E5,"[4, 5]",55.657772064208984,9.510685750623159,5.686041736602784,0.525952891517469,7.436058691029373,0.6575492947702583,0.8418452463979843,0.026518281741405608,6.719968626694258,0.6758753099667888,4.6614453735351615,0.516061350991219
H2,"[7, 2]",55.74316558837891,8.39653580964338,5.787662696838379,0.5827306278764429,7.447414036788766,0.5694905841527831,0.842309988210746,0.015075132637826057,6.890792275990586,0.7764132878782971,4.892592285156252,0.693606033485196
G2,"[6, 2]",56.52471923828125,8.709800727982168,5.832007884979248,0.5506334500976622,7.498337840419066,0.5913732846544248,0.8400215330186782,0.017343871445343724,6.950654239306192,0.7008180747101036,4.938708923339848,0.7213482360699828
A5,[5],56.83077850341797,5.581640579361791,5.640151023864746,0.3479682644113034,7.530305161061281,0.3740476103181146,0.838104090598321,0.01892540406578633,6.700025697918219,0.5029831184636822,4.4997691650390665,0.36745414780804236
E3,"[4, 3]",58.21549682617187,11.39157526276368,5.800205039978027,0.6945617497762576,7.596262766579815,0.7892006715465671,0.8353464584709694,0.026958852679103907,6.888002103138588,0.8784309232545613,4.739082092285163,0.6579367231081035
E4,"[4, 4]",58.87969741821289,6.0971627923959835,5.907436656951904,0.3721507820076013,7.664211549449765,0.3969259511386898,0.8325130343883286,0.01705082998186566,7.008472689937301,0.5301987747022513,4.8918834228515635,0.36790813539288447
D6,"[3, 6]",59.2199951171875,7.964937219355062,5.890469169616699,0.4586113647040381,7.679587505597141,0.5403211280562625,0.8317172990258628,0.02160017946366849,6.939040035555118,0.5937953613682859,4.906515930175783,0.5339209831125157
F2,"[5, 2]",60.15586166381836,9.282894584995388,6.033465576171875,0.6278149512352935,7.735664913252643,0.6110658522688885,0.8296109189839951,0.02005098507869531,7.157153808407945,0.8196343055763735,5.1146480102539105,0.848463790228733
D5,"[3, 5]",61.62386245727539,12.393512573183184,6.004284858703613,0.7624026882213295,7.814161379359009,0.8281485674695532,0.8259888186175941,0.027010343231037886,7.079890036662038,0.9528984367564761,4.985783813476564,0.8137230099302165
A3,[3],62.53556518554687,11.743828172907378,5.9358752250671385,0.5845970363590386,7.877924548207514,0.763334324757959,0.8220259453600116,0.03610709974131905,7.080684726607205,0.7126663095787504,4.791162353515628,0.5628504864531317
D3,"[3, 3]",62.9590461730957,10.10112763570118,6.132024765014648,0.5692890574841625,7.911264581743033,0.670677546575681,0.8215314008497561,0.02460154652342018,7.235473322455746,0.7056821831248498,5.165022888183598,0.6283801839333345
D4,"[3, 4]",63.37438278198242,13.998347283311805,6.088176822662353,0.8476433322661672,7.919704502256543,0.8954341767693046,0.8212211037828826,0.029908477779718317,7.2084618624521966,1.0246506326838265,5.040529296874999,0.9662684958424265
E2,"[4, 2]",67.32350158691406,10.611839381278797,6.316249752044678,0.5280401701332336,8.182192684526951,0.6719925823392598,0.8086582384874038,0.030637447960325425,7.532689734977251,0.7171185762503457,5.236357543945317,0.5617424198975174
D2,"[3, 2]",71.9080909729004,9.650397680910464,6.540284252166748,0.7394994286289864,8.463235645075661,0.5812570849852859,0.7963915290579415,0.016399899710121724,7.7651233346284725,1.0352833622748836,5.505450866699221,0.9521710437884295
A2,[2],72.30835037231445,11.619675926919104,6.448666667938232,0.638478279454165,8.480946961111965,0.6861687671513704,0.7952523389079047,0.02391177107309142,7.674240717464554,0.8467137881763575,5.288454772949225,0.7142247292852828
C6,"[2, 6]",73.74370040893555,11.403013507150547,6.494608783721924,0.6802225965913596,8.564807385597174,0.6885064634645525,0.7908779285778627,0.02762574530090889,7.597366415470044,0.8084754538731521,5.361578125000004,0.8493585387329021
I1,"[8, 1]",74.42715225219726,13.59690169518337,6.792122459411621,0.8057452912660252,8.594802712715683,0.8181217627483119,0.7897704116605906,0.027565103556658952,8.110041269129121,1.0583733219457048,5.84928784179688,1.0137149598043502
H1,"[7, 1]",76.86046981811523,11.495568917253648,6.934574604034424,0.6388984518730224,8.745762376538245,0.6606607395617169,0.7828512041181898,0.015910155618615744,8.290117876945626,0.868471200328924,6.012341064453134,0.7571273785534581
G1,"[6, 1]",77.94245681762695,14.042422732443544,6.9469507217407225,0.7356896371585737,8.797780931942105,0.810568641577485,0.7799947780531493,0.025258046397655852,8.276512118410535,0.9836296836535827,6.020149658203129,0.7552378309696709
C3,"[2, 3]",79.35250701904297,5.055689453644758,6.859902095794678,0.35692804673604284,8.903978948338587,0.28344047849537357,0.7738395071095707,0.020304615248575932,8.180970057546823,0.5944226345312854,5.7078992309570395,0.529202827701082
C7,"[2, 7]",81.62808074951172,22.21147353614773,6.869058132171631,1.1403583155954131,8.95901608795557,1.3019689653709652,0.7696305820158127,0.05567976267028046,7.9545346365225855,1.3237662589054005,5.780481384277351,1.1790870667534696
C4,"[2, 4]",81.33550643920898,12.351250936841124,6.790837574005127,0.583378884908767,8.995950677092393,0.7076789736296909,0.7684823458685924,0.03720689388835031,7.973676806003406,0.6876908120596564,5.565539794921875,0.78068668183954
F1,"[5, 1]",81.99319458007812,13.503645014746455,7.123992919921875,0.8265678030088758,9.02831856773491,0.7654399112185521,0.7679923013570942,0.02805290932094352,8.475338563277457,1.0015152583679867,6.149784240722662,1.1932589712810044
C2,"[2, 2]",84.51231231689454,10.106358556473442,7.094041728973389,0.5862381476150719,9.178800457269228,0.5652158198030824,0.7601890312696172,0.02180107754210874,8.383810497101447,0.8182534318340556,5.968663452148445,0.7213122697370004
C5,"[2, 5]",86.63255081176757,26.753061163234502,7.076496887207031,1.290951185942242,9.208429012300085,1.5117166498921297,0.7548971367203889,0.07328892078314782,8.346269104315187,1.7059592640355137,5.947511718750002,1.2989159396605627
E1,"[4, 1]",85.46487731933594,10.96380382430064,7.365931987762451,0.6257570288243024,9.228583135346335,0.5994530251966664,0.7579828080058596,0.016717345722101845,8.67267925698157,0.8580403339971905,6.533903076171882,0.7583569343665393
A1,[1],91.76180572509766,12.031097616415835,7.37931079864502,0.7038525413783083,9.563057210546747,0.6207903850764215,0.7401635111075195,0.016888221520012892,8.818763461986297,0.9590190122495974,6.204130798339847,0.9180809031493077
D1,"[3, 1]",94.77818298339844,13.958139300499578,7.578084564208984,0.6377774195086497,9.712946909861907,0.7321491855537372,0.731858338353709,0.024391944970544775,8.96969673040599,0.9153866432969553,6.464014953613289,0.7467408736269451
C1,"[2, 1]",100.85305938720703,13.658851659045881,7.8403678894042965,0.7746061316288427,10.023811217101649,0.680183361203585,0.7146834170815716,0.01709323920342063,9.338640042252734,1.1318545746835704,6.644760559082039,1.033076021112613
B6,"[1, 6]",100.83243560791016,12.540316823476388,7.788581657409668,0.6513643910925998,10.026105961376107,0.6194049157312747,0.7144025804148014,0.016626045895973923,9.39149448020656,1.0193608276733015,6.590789367675785,0.7882280607241892
B8,"[1, 8]",107.6960693359375,13.815682420674369,8.035819911956787,0.7689285002945193,10.360424186892704,0.6659308356840765,0.6937168385785182,0.03834677080598412,9.456168584207036,1.0393994933435402,6.916288330078132,1.2137120732996243
B4,"[1, 4]",114.69139556884765,17.667033975532476,8.377421951293945,0.8940065845877437,10.682513592426844,0.8460121529514808,0.6741807837854427,0.04801642259703574,9.833901835440088,1.1026645820923957,7.206730224609382,1.1536800463425234
B3,"[1, 3]",120.93805541992188,16.169755343741073,8.659850788116454,0.9144551872422588,10.977480819605407,0.7341147739994889,0.6566378994457513,0.035830917951166136,10.433067212403362,1.3458526026533126,7.550021606445318,1.1901952623077072
B7,"[1, 7]",124.80497436523437,25.753795377913658,8.736986923217774,1.100007297996192,11.12570009118227,1.1292060826810997,0.6478336124674081,0.04817940653746721,10.164729380348252,1.1353959041965265,7.502110046386727,1.2789542718405604
B5,"[1, 5]",134.04454498291017,20.376645101971206,9.04817886352539,0.8713787745842354,11.551054337948758,0.8759624872089617,0.6212884898739921,0.02621340198284968,10.406028993597726,0.9174658337062461,7.684598022460944,0.9529542585633394
B1,"[1, 1]",137.63330688476563,26.14019498606336,9.222879791259766,1.2683005745186382,11.69267264481274,1.0677592652905168,0.6119289132244534,0.03874374973301949,10.961161745540423,1.6531002935590844,8.037266296386727,1.7051243262090807
B2,"[1, 2]",139.619287109375,36.01343130328588,9.212205600738525,1.4277549063975148,11.734771634231524,1.5459340058455482,0.6085895934408292,0.06870425442007856,10.897325627212165,1.712929593627075,7.862166931152347,1.3895964496867397
